numero_so,sku,cantidad_cajas,precio
SO-5201,SKU-1001,30,8.3
SO-5201,SKU-1002,20,3.1
SO-5201,SKU-1003,12,9.9
SO-5202,SKU-1003,8,9.9
SO-5202,SKU-1004,6,6.5
SO-5202,SKU-1009,4,7.9
SO-5203,SKU-1005,6,14.0
SO-5203,SKU-1011,4,19.8
SO-5203,SKU-1014,2,11.4
SO-5204,SKU-1003,10,9.9
SO-5204,SKU-1004,8,6.5
SO-5204,SKU-1010,6,4.0
SO-5204,SKU-1013,4,6.5
SO-5205,SKU-1006,10,18.9
SO-5205,SKU-1011,10,19.8
SO-5205,SKU-1012,8,12.2
SO-5205,SKU-1010,6,4.0
SO-5206,SKU-1006,8,18.9
SO-5206,SKU-1011,6,19.8
SO-5206,SKU-1012,6,12.2
SO-5207,SKU-1003,12,9.9
SO-5207,SKU-1004,10,6.5
SO-5207,SKU-1009,6,7.9
SO-5207,SKU-1014,3,11.4
SO-5208,SKU-1001,4,8.3
SO-5208,SKU-1007,4,5.6
SO-5209,SKU-1007,10,5.6
SO-5209,SKU-1003,10,9.9
SO-5209,SKU-1015,4,13.6
SO-5210,SKU-1009,2,7.9
SO-5210,SKU-1008,1,9.0
SO-5211,SKU-1002,10,3.1
SO-5211,SKU-1003,8,9.9
SO-5211,SKU-1005,4,14.0
SO-5212,SKU-1001,20,8.3
SO-5212,SKU-1015,8,13.6
SO-5212,SKU-1003,10,9.9
SO-5213,SKU-1016,20,16.8
SO-5213,SKU-1002,24,3.1
SO-5213,SKU-1001,16,8.3
SO-5213,SKU-1007,10,5.6
SO-5214,SKU-1016,30,16.8
SO-5214,SKU-1002,30,3.1
SO-5214,SKU-1001,30,8.3
SO-5214,SKU-1008,10,9.0
SO-5215,SKU-1007,6,5.6
SO-5215,SKU-1012,4,12.2
SO-5216,SKU-1001,10,8.3
SO-5216,SKU-1015,6,13.6
SO-5216,SKU-1007,8,5.6
SO-5217,SKU-1016,24,16.8
SO-5217,SKU-1002,20,3.1
SO-5217,SKU-1001,20,8.3
SO-5217,SKU-1009,6,7.9
SO-5218,SKU-1003,4,9.9
SO-5218,SKU-1005,3,14.0
SO-5218,SKU-1010,2,4.0
SO-5219,SKU-1008,4,9.0
SO-5219,SKU-1009,2,7.9
SO-5220,SKU-1007,3,5.6
SO-5220,SKU-1008,4,9.0
SO-5220,SKU-1009,2,7.9
SO-5221,SKU-1003,20,9.9
SO-5221,SKU-1004,12,6.5
SO-5221,SKU-1007,10,5.6
SO-5222,SKU-1007,4,5.6
SO-5222,SKU-1009,3,7.9
SO-5223,SKU-1003,10,9.9
SO-5223,SKU-1004,10,6.5
SO-5223,SKU-1009,8,7.9
SO-5223,SKU-1005,4,14.0
SO-5224,SKU-1016,24,16.8
SO-5224,SKU-1002,20,3.1
SO-5224,SKU-1001,16,8.3
SO-5224,SKU-1007,8,5.6
SO-5225,SKU-1003,12,9.9
SO-5225,SKU-1007,10,5.6
SO-5225,SKU-1009,6,7.9
SO-5226,SKU-1016,20,16.8
SO-5226,SKU-1002,16,3.1
SO-5226,SKU-1001,12,8.3
SO-5227,SKU-1010,6,4.0
SO-5227,SKU-1011,2,19.8
SO-5228,SKU-1007,6,5.6
SO-5228,SKU-1012,4,12.2
SO-5228,SKU-1001,6,8.3
SO-5229,SKU-1016,24,16.8
SO-5229,SKU-1002,20,3.1
SO-5229,SKU-1001,20,8.3
SO-5229,SKU-1007,10,5.6
SO-5230,SKU-1003,12,9.9
SO-5230,SKU-1004,8,6.5
SO-5230,SKU-1010,4,4.0
SO-5231,SKU-1016,20,16.8
SO-5231,SKU-1002,16,3.1
SO-5231,SKU-1001,14,8.3
SO-5232,SKU-1010,4,4.0
SO-5232,SKU-1011,2,19.8
SO-5233,SKU-1007,6,5.6
SO-5233,SKU-1012,4,12.2
SO-5234,SKU-1006,8,18.9
SO-5234,SKU-1011,8,19.8
SO-5234,SKU-1012,6,12.2
SO-5234,SKU-1003,8,9.9
SO-5235,SKU-1007,3,5.6
SO-5236,SKU-1008,3,9.0
SO-5237,SKU-1001,4,8.3
SO-5237,SKU-1015,2,13.6
SO-5238,SKU-1004,40,6.5
SO-5238,SKU-1009,30,7.9
SO-5238,SKU-1003,30,9.9
SO-5239,SKU-1001,20,8.3
SO-5239,SKU-1006,12,18.9
SO-5239,SKU-1012,12,12.2
SO-5240,SKU-1003,30,9.9
SO-5240,SKU-1004,12,6.5
