numero_so,numero_factura,cliente_codigo,fecha,valor,peso_kg,volumen_m3,cajas,prioridad,zoho_salesorder_id
SO-5201,INV-7300,C001,2026-09-18,429.8,313.0,1.356,62,3,zso_552000
SO-5202,INV-7301,C002,2026-09-18,149.8,96.0,1.22,18,3,zso_552001
SO-5203,INV-7302,C003,2026-09-18,186.0,128.6,0.216,12,3,zso_552002
SO-5204,INV-7303,C004,2026-09-18,201.0,102.4,1.394,28,3,zso_552003
SO-5205,INV-7304,C005,2026-09-18,508.6,363.4,0.628,34,3,zso_552004
SO-5206,INV-7305,C006,2026-09-18,343.2,251.0,0.414,20,3,zso_552005
SO-5207,INV-7306,C007,2026-09-18,265.4,161.6,1.911,31,3,zso_552006
SO-5208,INV-7307,C008,2026-09-18,55.6,39.2,0.0848,8,3,zso_552007
SO-5209,INV-7308,C009,2026-09-18,209.4,170.6,1.122,24,3,zso_552008
SO-5210,INV-7309,C010,2026-09-18,24.8,21.2,0.168,3,3,zso_552009
SO-5211,INV-7310,C011,2026-09-18,166.2,127.0,0.849,22,3,zso_552010
SO-5212,INV-7311,C012,2026-09-18,373.8,297.2,1.168,38,3,zso_552011
SO-5213,INV-7312,C013,2026-09-18,599.2,368.2,2.4572,70,3,zso_552012
SO-5214,INV-7313,C014,2026-09-18,936.0,560.0,4.091,100,3,zso_552013
SO-5215,INV-7314,C015,2026-09-18,82.4,47.0,0.202,10,3,zso_552014
SO-5216,INV-7315,C016,2026-09-18,209.4,187.4,0.29,24,3,zso_552015
SO-5217,INV-7316,C017,2026-09-18,678.6,399.2,3.052,70,3,zso_552016
SO-5218,INV-7317,C018,2026-09-18,89.6,55.3,0.441,9,3,zso_552017
SO-5219,INV-7318,C019,2026-09-18,51.8,41.6,0.354,6,3,zso_552018
SO-5220,INV-7319,C020,2026-09-18,68.6,55.1,0.399,9,3,zso_552019
SO-5221,INV-7320,C021,2026-09-18,332.0,203.4,2.526,42,3,zso_552020
SO-5222,INV-7321,C022,2026-09-18,46.1,39.6,0.219,7,3,zso_552021
SO-5223,INV-7322,C023,2026-09-18,283.2,187.6,1.888,32,3,zso_552022
SO-5224,INV-7323,C024,2026-09-18,642.8,370.8,2.8292,68,3,zso_552023
SO-5225,INV-7324,C025,2026-09-18,222.2,160.2,1.548,28,3,zso_552024
SO-5226,INV-7325,C026,2026-09-18,485.2,269.2,2.2464,48,3,zso_552025
SO-5227,INV-7326,C027,2026-09-18,63.6,39.4,0.088,8,3,zso_552026
SO-5228,INV-7327,C028,2026-09-18,132.2,78.8,0.2392,16,3,zso_552027
SO-5229,INV-7328,C029,2026-09-18,687.2,401.0,2.884,74,3,zso_552028
SO-5230,INV-7329,C030,2026-09-18,186.8,103.2,1.5,24,3,zso_552029
SO-5231,INV-7330,C031,2026-09-18,501.8,279.8,2.2588,50,3,zso_552030
SO-5232,INV-7331,C032,2026-09-18,55.6,36.6,0.07,6,3,zso_552031
SO-5233,INV-7332,C033,2026-09-18,82.4,47.0,0.202,10,3,zso_552032
SO-5234,INV-7333,C034,2026-09-18,462.0,330.0,1.168,30,3,zso_552033
SO-5235,INV-7334,C035,2026-09-18,16.8,13.5,0.045,3,3,zso_552034
SO-5236,INV-7335,C035,2026-09-18,27.0,20.4,0.186,3,3,zso_552035
SO-5237,INV-7336,C036,2026-09-18,60.4,54.0,0.0608,6,3,zso_552036
SO-5238,INV-7337,C014,2026-09-18,794.0,524.0,6.21,100,3,zso_552037
SO-5239,INV-7338,C001,2026-09-18,539.2,358.0,0.676,44,3,zso_552038
SO-5240,INV-7339,C025,2026-09-18,375.0,218.4,3.276,42,3,zso_552039
